"Account","Date","Merchant","Description","Amount","Type","Category","Sub-category","Property","Unit","Notes"
"ECO Systems, LLC-ECO Systems Operations-2624","January 28, 2026","CASH APP*AUSTIN TINKHAM","CASH APP*AUSTIN TINKHAM, Oakland, CA, US  |  **4225","-212.32","Operating Expenses","Repairs","Repairs Supplies","402 N Wild Olive Ave","",""
"Zebra LFTY0476 DAO LLC - 9 Country Club Ln N-9 Country Club Ln Operations-0716","January 28, 2026","Stone Manor Hospitality LLC  |  TRANSFER_O","Stone Manor Hospitality LLC  |  TRANSFER_O","-400","Operating Expenses","Cleaning & Maintenance","Cleaning & Janitorial","9 Country Club Ln N","","Cleaning Fee for 1/17/26 - 1/19/26 guest"
"Zebra LFTY0476 DAO LLC - 9 Country Club Ln N-9 Country Club Ln Operations-0716","January 28, 2026","Stone Manor Hospitality LLC  |  TRANSFER_O","Stone Manor Hospitality LLC  |  TRANSFER_O","-311.5","Operating Expenses","Utilities","Phone, Cable & Internet","9 Country Club Ln N","","Verizon Fios Bill November 2025"
"Zebra LFTY0476 DAO LLC - 9 Country Club Ln N-9 Country Club Ln Operations-0716","January 28, 2026","Stone Manor Hospitality LLC  |  TRANSFER_O","Stone Manor Hospitality LLC  |  TRANSFER_O","-321.74","Loan Payments & Capex","Other Loan Payments","General Loan Payments & Capex","9 Country Club Ln N","","Solar Loan Payment - NBT Bank January 2026"
"Zebra LFTY0476 DAO LLC - 9 Country Club Ln N-9 Country Club Ln Operations-0716","January 28, 2026","Stone Manor Hospitality LLC  |  TRANSFER_O","Stone Manor Hospitality LLC  |  TRANSFER_O","-735.99","Operating Expenses","Utilities","Gas & Electric","9 Country Club Ln N","","ConEd Nov 2025 Balance"
"Lofty Holding 5541 S Peoria Street DAO LLC-5541 S Peoria St Operations-9125","January 28, 2026","THE HOME DEPOT #","Purchase from THE HOME DEPOT #  |  Address: CHICAGO, IL, US  |  **1341","-66.5","Operating Expenses","Repairs","General Operating Expenses","5541 S Peoria St","",""
"Earl Vanze Co-Coinbase-0498","January 28, 2026","Wire from EARL VANZE QUIBIDO CO | ORIGINATING FI/COINBASE INC","Wire from EARL VANZE QUIBIDO CO | ORIGINATING FI/COINBASE INC","10000","Transfers & Other","Owner Contributions/Distributions","General Transfers & Other","804 S Quitman St","","Ian Haber 10k USDC via Coinbase"
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 28, 2026","VRBO","VRBO  |  PAYMENT","471.04","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 28, 2026","HULU","HULU, HULU, SANTA MONICA, CA, US  |  **3073","-12.99","Operating Expenses","Utilities","Phone, Cable & Internet","88 Madison Ave","",""
"Lofty Holding 1518 Dille Road DAO LLC - Ohio 3-Prop-1518 Dille Rd Operations-9343","January 28, 2026","STRIPE","STRIPE  |  LD62P3:REN","701.1","Revenue","Rents","Long Term Rents","1518 Dille Rd","",""
"ECO Systems, LLC-Hemlane Operations-4420","January 28, 2026","STRIPE","STRIPE  |  HKW5P8:REN","1435.5","Revenue","Rents","Long Term Rents","8708 Willard Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 28, 2026","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  TRJIBQCE2F","413.2","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"ECO Systems, LLC-Hemlane Operations-4420","January 28, 2026","STRIPE","STRIPE  |  HKW6ZC:REN","1435.5","Revenue","Rents","Long Term Rents","8708 Willard Ave","",""
"Lofty Holding 1518 Dille Road DAO LLC - Ohio 3-Prop-1518 Dille Rd Operations-9343","January 28, 2026","STRIPE","STRIPE  |  98NQ6P:REN","743.36","Revenue","Rents","Long Term Rents","1518 Dille Rd","",""
"ECO Systems, LLC-Hemlane Operations-4420","January 28, 2026","STRIPE","STRIPE  |  HKW4QB:REN","1435.5","Revenue","Rents","Long Term Rents","8708 Willard Ave","",""
"Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC-Lofty Holding 7542 & 7656 S Colfax Ave Operations-9094","January 28, 2026","HEMLANE","HEMLANE  |  HEMLANE","-46.5","Operating Expenses","Repairs","Repairs Labor","7542 S Colfax Ave","",""
"Strawberry LFTY402 DAO LLC - 90 Madison-90 Madison Ave Operations-0172","January 28, 2026","HOSPITABLE, INC.","HOSPITABLE, INC.  |  J2781 RCUR","-185.42","Revenue","Rents","Short Term Rents","90 Madison Ave","",""
"Poodle LFTY0452 DAO LLC - 85-104 Alawa-85-104 Alawa Pl Operations-1176","January 28, 2026","HAWN ELECTRIC","HAWN ELECTRIC  |  ELEC PAYMT","-248.85","Operating Expenses","Utilities","General Operating Expenses","85-104 Alawa Pl","",""
"Poodle LFTY0452 DAO LLC - 85-104 Alawa-85-104 Alawa Pl Operations-1176","January 28, 2026","HAWN ELECTRIC","Returned received ACH transaction #381457126 due to: Account has insufficient funds","248.85","Revenue","Fees & Other Revenue","General Revenue","85-104 Alawa Pl","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 28, 2026","HOSPITABLE.COM","Purchase from HOSPITABLE.COM  |  Address: 321-7107258, CA, US  |  **1559","-279","Operating Expenses","Other Operating Expenses","Software Subscriptions","88 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 28, 2026","SAMSCLUB.COM","Purchase from SAMSCLUB.COM  |  Address: 888-746-7726, AR, US  |  **2577","-165.01","Operating Expenses","Supplies","General Operating Expenses","88 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 27, 2026","LOWE'S #1784","Purchase from LOWE'S #1784  |  Address: GLENMONT, NY, US  |  **4425","-18.32","Operating Expenses","Supplies","General Operating Expenses","88 Madison Ave","",""
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","January 27, 2026","LOWE'S #1784","Purchase from LOWE'S #1784  |  Address: GLENMONT, NY, US  |  **4164","-113.21","Operating Expenses","Supplies","General Operating Expenses","86 Madison Ave","",""
"Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC-Lofty Holding 7542 & 7656 S Colfax Ave Operations-9094","January 27, 2026","THE HOME DEPOT #","Purchase from THE HOME DEPOT #  |  Address: CHICAGO, IL, US  |  **0906","-14.31","Operating Expenses","Supplies","General Operating Expenses","7542 S Colfax Ave","",""
"Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC-Lofty Holding 7542 & 7656 S Colfax Ave Operations-9094","January 27, 2026","THE HOME DEPOT #","Purchase from THE HOME DEPOT #  |  Address: CHICAGO, IL, US  |  **0906","-74.92","Operating Expenses","Repairs","General Operating Expenses","7542 S Colfax Ave","",""
"Lofty Holding 428 Cross Street DAO LLC-428 Cross St Operations-5461","January 27, 2026","HEMLANE","HEMLANE  |  798SKD:RAZ","-820","Operating Expenses","Repairs","Repairs Labor","428 Cross St.","",""
"Poodle LFTY0452 DAO LLC - 85-104 Alawa-85-104 Alawa Pl Operations-1176","January 27, 2026","loanDepot.com, L","loanDepot.com, L  |  Invoices","-7225.4","Loan Payments & Capex","Mortgage Payments","General Loan Payments & Capex","85-104 Alawa Pl","",""
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","January 27, 2026","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  JOKBCOW4C6","568.81","Revenue","Rents","Short Term Rents","86 Madison Ave","",""
"Lychee LFTY0431 DAO LLC - 84 Madison-84 Madison Ave Operations-2073","January 27, 2026","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  PHMP35RM3S","527.26","Revenue","Rents","Short Term Rents","84 Madison Ave","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 27, 2026","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  B4A7L4FAHR","492.12","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","January 27, 2026","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  B4A7L4FAHR","290.87","Revenue","Rents","Short Term Rents","86 Madison Ave","",""
"Lychee LFTY0431 DAO LLC - 84 Madison-84 Madison Ave Operations-2073","January 27, 2026","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  B4A7L4FAHR","449.92","Revenue","Rents","Short Term Rents","84 Madison Ave","",""
"Beagle LFTY0454 DAO LLC - 22164 Umland Circle-22164 Umland Circle Operations-4909","January 27, 2026","AIRBNB 4977","AIRBNB 4977  |  AIRBNB","207.71","Revenue","Rents","Short Term Rents","22164 Umland Circle","",""
"Beagle LFTY0454 DAO LLC - 22164 Umland Circle-22164 Umland Circle Operations-4909","January 27, 2026","Fee for Check Payment 279971","Fee for Check Payment 279971","-2","Operating Expenses","Other Operating Expenses","General Operating Expenses","22164 Umland Circle","",""
"Beagle LFTY0454 DAO LLC - 22164 Umland Circle-22164 Umland Circle Operations-4909","January 27, 2026","Fee for Check Payment 279972","Fee for Check Payment 279972","-2","Operating Expenses","Other Operating Expenses","General Operating Expenses","22164 Umland Circle","",""
"Earl Vanze Co-Coinbase-0498","January 27, 2026","Wire from EARL VANZE QUIBIDO CO | ORIGINATING FI/COINBASE INC","Wire from EARL VANZE QUIBIDO CO | ORIGINATING FI/COINBASE INC","15953","Transfers & Other","Owner Contributions/Distributions","General Transfers & Other","3024 W 103rd St","",""
"Strawberry LFTY402 DAO LLC - 90 Madison-90 Madison Ave Operations-0172","January 27, 2026","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **9445","-1041.13","Operating Expenses","Utilities","Electric","90 Madison Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 27, 2026","WYOMING SECRETARY OF ST","Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **4225","-103.75","Operating Expenses","Taxes","Tax Licenses & Registrations","49 Bannbury Ln","","49 Bannbury Ln Reinstatement 2026"
"ECO Systems, LLC-ECO Systems Operations-2624","January 27, 2026","WYOMING SECRETARY OF ST","Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **4225","-62.25","Operating Expenses","Taxes","Tax Licenses & Registrations","49 Bannbury Ln","","49 Bannbury Ln Annual Report 2026"
"ECO Systems, LLC-ECO Systems Operations-2624","January 27, 2026","WYOMING SECRETARY OF ST","Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **4225","-62.25","Operating Expenses","Taxes","Tax Licenses & Registrations","122 Florida Park Dr","","122 Florida Park Dr"
"ECO Systems, LLC-ECO Systems Operations-2624","January 27, 2026","WYOMING SECRETARY OF ST","Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **4225","-103.75","Operating Expenses","Taxes","Tax Licenses & Registrations","402 N Wild Olive Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 27, 2026","WYOMING SECRETARY OF ST","Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **4225","-62.25","Operating Expenses","Taxes","Tax Licenses & Registrations","402 N Wild Olive Ave","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 27, 2026","WYOMING SECRETARY OF ST","Purchase from WYOMING SECRETARY OF ST  |  Address: 307-7775847, WY, US  |  **4225","-62.25","Operating Expenses","Taxes","Tax Licenses & Registrations","402 N Wild Olive Ave","",""
"Poodle LFTY0452 DAO LLC - 85-104 Alawa-85-104 Alawa Pl Operations-1176","January 26, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","3400","Transfers & Other","Transfers Between Accounts","General Transfers & Other","85-104 Alawa Pl","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 26, 2026","Poodle LFTY0452 DAO LLC  |  INTERNAL_TRANSFER","Poodle LFTY0452 DAO LLC  |  INTERNAL_TRANSFER","-3400","Transfers & Other","Transfers Between Accounts","General Transfers & Other","85-104 Alawa Pl","",""
"Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC-Lofty Holding 7542 & 7656 S Colfax Ave Operations-9094","January 26, 2026","THE HOME DEPOT #","Purchase from THE HOME DEPOT #  |  Address: CHICAGO, IL, US  |  **0906","-212.89","Operating Expenses","Repairs","General Operating Expenses","7542 S Colfax Ave","",""
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","January 26, 2026","QUANTUM FIBER","QUANTUM FIBER  |  QUANTUM FI","-50","Operating Expenses","Utilities","General Operating Expenses","804 S Quitman St","",""
"Lofty Holding 5541 S Peoria Street DAO LLC-5541 S Peoria St Operations-9125","January 26, 2026","LOWE'S #2301","Purchase from LOWE'S #2301  |  Address: CHICAGO, IL, US  |  **1341","-35.24","Operating Expenses","Supplies","General Operating Expenses","5541 S Peoria St","",""
"Lofty Holding 5541 S Peoria Street DAO LLC-5541 S Peoria St Operations-9125","January 26, 2026","THE HOME DEPOT #","Purchase from THE HOME DEPOT #  |  Address: CHICAGO, IL, US  |  **1341","-58.72","Operating Expenses","Supplies","General Operating Expenses","5541 S Peoria St","",""
"Lofty Holding 8143 S Sangamon Street DAO LLC-8143 S Sangamon St Operations-9119","January 26, 2026","Lofty Holding 8143 S Sangamon Street DAO LLC  |  INTERNAL_TRANSFER","Lofty Holding 8143 S Sangamon Street DAO LLC  |  INTERNAL_TRANSFER","-2000","Transfers & Other","Transfers Between Accounts","General Transfers & Other"," 8143 S Sangamon St.","",""
"Lofty Holding 8143 S Sangamon Street DAO LLC-8143 S Sangamon St Reserves-1295","January 26, 2026","Lofty Holding 8143 S Sangamon Street DAO LLC  |  INTERNAL_TRANSFER","Lofty Holding 8143 S Sangamon Street DAO LLC  |  INTERNAL_TRANSFER","2000","Transfers & Other","Transfers Between Accounts","General Transfers & Other"," 8143 S Sangamon St.","",""
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","January 26, 2026","HCM*Denver Water","HCM*Denver Water  |  Pull (D)","-2055","Operating Expenses","Utilities","General Operating Expenses","804 S Quitman St","",""
"Heron LFTY0314 DAO LLC - 88 Madison-88 Madison Ave Operations-0181","January 26, 2026","AIRBNB PAYMENTS","AIRBNB PAYMENTS  |  AR5LA57HDR","91.34","Revenue","Rents","Short Term Rents","88 Madison Ave","",""
"Lion LFTY0435 DAO LLC - 804 S Quitman-804 S Quitman St Operations-1879","January 26, 2026","Baselane","Baselane  |  Rent#1190888","3675","Revenue","Rents","General Revenue","804 S Quitman St","804A",""
"Lychee LFTY0431 DAO LLC - 84 Madison-84 Madison Ave Operations-2073","January 26, 2026","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **6813","-27.36","Operating Expenses","Utilities","Gas & Electric","84 Madison Ave","",""
"Snow Leopard LFTY0439 DAO LLC - 86 Madison-86 Madison Ave Operations-8724","January 26, 2026","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **4305","-85.17","Operating Expenses","Utilities","Gas & Electric","86 Madison Ave","",""
"Lychee LFTY0431 DAO LLC - 84 Madison-84 Madison Ave Operations-2073","January 26, 2026","ARCADIA","Purchase from ARCADIA  |  Address: ARCADIA.COM, DC, US  |  **6813","-445.77","Operating Expenses","Utilities","Gas & Electric","84 Madison Ave","",""
"Lofty Holding 1432 Sara Avenue DAO LLC-1432 Sara Ave Operations-7012","January 26, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **7168","-78.46","Operating Expenses","Insurance","Rental Dwelling","1432 Sara Ave.","",""
"Lofty Holding 9634 S Green Street DAO LLC-9634 S Green St Operations-9341","January 26, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **5972","-242.75","Operating Expenses","Insurance","Rental Dwelling","9634 S Green St","",""
"Lofty Holding 8143 S Sangamon Street DAO LLC-8143 S Sangamon St Operations-9119","January 26, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **7948","-174.42","Operating Expenses","Insurance","Rental Dwelling"," 8143 S Sangamon St.","",""
"Lofty Holding 7542 & 7656 S Colfax Avenue DAO LLC-Lofty Holding 7542 & 7656 S Colfax Ave Operations-9094","January 26, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **0906","-639.8","Operating Expenses","Insurance","Rental Dwelling","7542 S Colfax Ave","",""
"Lofty Holding 5541 S Peoria Street DAO LLC-5541 S Peoria St Operations-9125","January 26, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **6600","-233.1","Operating Expenses","Insurance","Rental Dwelling","5541 S Peoria St","",""
"Lofty Holding 428 Cross Street DAO LLC-428 Cross St Operations-5461","January 26, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **8174","-160.01","Operating Expenses","Insurance","Rental Dwelling","428 Cross St.","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 26, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **4225","-92.81","Operating Expenses","Insurance","Rental Dwelling","4183 E 146 St","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 24, 2026","Lofty Holding 1432 Sara Avenue DAO LLC  |  INTERNAL_TRANSFER","Lofty Holding 1432 Sara Avenue DAO LLC  |  INTERNAL_TRANSFER","-200","Transfers & Other","Transfers Between Accounts","General Transfers & Other","1432 Sara Ave.","",""
"Lofty Holding 1432 Sara Avenue DAO LLC-1432 Sara Ave Operations-7012","January 24, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","200","Transfers & Other","Transfers Between Accounts","General Transfers & Other","1432 Sara Ave.","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **4225","-137.38","Operating Expenses","Insurance","Rental Dwelling","3850 W 17th St","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **4225","-193.9","Operating Expenses","Insurance","Rental Dwelling","3024 W 103rd St","",""
"Lofty Holding 25 Circle Drive DAO LLC-25 Circle Dr Operations-8274","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **8759","-76.48","Operating Expenses","Insurance","Rental Dwelling","25 Circle Dr","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **4225","-69.47","Operating Expenses","Insurance","Rental Dwelling","2094 W 34th Place","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **4225","-242.9","Operating Expenses","Insurance","Rental Dwelling","1456 W 85th St.","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **4225","-285.85","Operating Expenses","Insurance","Rental Dwelling","13806 Coit Rd","",""
"Lofty Holding 1278 E 187th Street DAO LLC-1278 E 187th St Operations-9154","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **3375","-107.57","Operating Expenses","Insurance","Rental Dwelling","1278 E 187th St","",""
"Lofty Holding 1518 Dille Road DAO LLC - Ohio 3-Prop-1518 Dille Rd Operations-9343","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **0827","-17.85","Operating Expenses","Insurance","Rental Dwelling","1518 Dille Rd","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **4225","-89.37","Operating Expenses","Insurance","Rental Dwelling","918 Frederick Blvd","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **4225","-109.37","Operating Expenses","Insurance","Rental Dwelling","566 Nash St","",""
"ECO Systems, LLC-ECO Systems Operations-2624","January 24, 2026","OSC - RISK SECURE","Purchase from OSC - RISK SECURE  |  Address: KENNESAW, GA, US  |  **4225","-97.24","Operating Expenses","Insurance","Rental Dwelling","10917 Fidelity Ave","",""
"Lofty Holding 9634 S Green Street DAO LLC-9634 S Green St Operations-9341","January 23, 2026","ECO Systems, LLC  |  INTERNAL_TRANSFER","ECO Systems, LLC  |  INTERNAL_TRANSFER","242.75","Transfers & Other","Transfers Between Accounts","General Transfers & Other","9634 S Green St","","For insurance"
"ECO Systems, LLC-ECO Systems Operations-2624","January 23, 2026","Lofty Holding 9634 S Green Street DAO LLC  |  INTERNAL_TRANSFER","Lofty Holding 9634 S Green Street DAO LLC  |  INTERNAL_TRANSFER","-242.75","Transfers & Other","Transfers Between Accounts","General Transfers & Other","9634 S Green St","","For insurance"
